stand,date_1,nb_cats_1,date_2,date_3,date_4,nb_people_4,date_5,nb_people_5,time_property_5,nb_cats_5,date_6,nb_people_6,newhouse_6,date_7,nb_people_7,moving_7,date_8,nb_people_8,moving_8,ndohh_8,dohh_enough_8,dohh_toomany_8,date_9,nb_people_9,moving_9,ndohh_9,dohh_enough_9,dohh_toomany_9,dohh_number_9,date_10,nb_people_10,moving_10,ndohh_10,dohh_enough_10,dohh_toomany_10,dohh_number_10,date_11,nb_people_11,ndohh_11,dohh_enough_11,dohh_toomany_11,dohh_number_11,date_12,inhabited_12,stand_household_12,time_property_12,new_house_12,ndohh_12,dohh_toomany_12,dohh_enough_12
C-40080,07/08/2011,0,,11/05/2012,5,06/18/2012,08/28/2013,5,4,0,01/23/2014,5,0,06/19/2014,6,1,10/30/2014,6,1,0,,,04/30/2015,6,1,88,,,,10/08/2015,6,1,88,,,,20-Jul-16,6,88,,,,,,,,,,,
C-40081,07/08/2011,0,02/25/2012,11/05/2012,4,06/18/2012,08/28/2013,4,4,0,01/16/2014,3,0,,,,10/30/2014,5,1,0,,,05/21/2015,4,1,88,,,,10/14/2015,4,1,88,,,,20-Jul-16,4,88,,,,2016/10/03,1,1,4,,88,,
C-40082,07/08/2011,0,,11/05/2012,88,,,,,,01/16/2014,8,0,,,,,,,,,,05/21/2015,7,1,,88,,,10/14/2015,8,1,,88,,,07-Mar-16,8,,88,,,2016/10/03,1,1,4,,,,88
C-40083,,,,11/05/2012,5,06/18/2012,08/28/2013,9,4,0,01/16/2014,9,0,06/20/2014,8,1,,,,,,,05/21/2015,5,1,1,,,1,10/14/2015,5,1,1,,,1,20-Jul-16,5,1,,,1,2016/10/03,1,1,4,,88,,
C-40084,07/08/2011,0,02/25/2012,11/05/2012,3,06/18/2012,08/28/2013,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-40085,,,02/21/2012,11/05/2012,2,06/18/2012,08/28/2013,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-40086,,,02/21/2012,11/05/2012,5,06/18/2012,08/29/2013,5,4,0,01/16/2014,8,0,06/19/2014,5,1,,,,,,,05/21/2015,5,1,88,,,,10/14/2015,5,1,1,,,1,20-Jul-16,5,1,,,1,2016/10/03,1,1,4,,,,88
C-40087,,,02/21/2012,11/05/2012,2,06/18/2012,08/28/2013,2,4,0,01/16/2014,1,0,06/19/2014,2,1,,,,,,,05/21/2015,2,1,1,,,1,10/14/2015,2,1,1,,,1,20-Jul-16,2,1,,,1,,,,,,,,
C-20115,08/18/2011,0,01/10/2012,,,07/24/2012,06/11/2013,2,4,0,04/22/2014,4,0,05/21/2014,8,1,10/01/2014,4,1,0,,,05/13/2015,5,1,88,,,,11/11/2015,5,1,88,,,,07-Apr-16,5,88,,,,2016/11/03,1,1,4,,0,,
C-20116,,,01/10/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,11/19/2015,5,1,1,,,1,13-Apr-16,5,1,,,1,2016/11/03,1,1,4,,0,,
