"","daySeries","meanAbun","meanInf","meanVac"
"820",820,524.3464,0,97.753
"821",821,524.4428,0,97.632
"822",822,524.5922,0,104.1504
"823",823,524.7178,0,112.6518
"824",824,524.8224,0.015,123.0578
"825",825,524.9392,0.0558,135.204
"826",826,525.053,0.1348,149.201
"827",827,525.1854,0.2752,164.039
"828",828,525.3326,0.4382,177.099
"829",829,525.4516,0.5586,184.8402
"830",830,525.524,0.6176,188.8112
"831",831,525.4768,0.5602,192.4498
"832",832,525.4134,0.4208,196.4352
"833",833,525.3982,0.2754,200.7554
"834",834,525.4424,0.1366,205.4718
"835",835,525.5248,0.0544,210.573
"836",836,525.6116,0.0148,216.021
"837",837,525.7276,0,221.8236
"838",838,525.8222,0,227.933
"839",839,525.983,0,234.1824
"840",840,526.0838,0,240.3608
"841",841,526.1812,0,246.3888
"842",842,526.3034,0,252.2666
"843",843,526.455,0,257.9792
"844",844,526.5528,0,263.2896
"845",845,526.6512,0,268.0672
"846",846,526.7784,0,272.211
